CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Total_Revolving_Bal;Trans_Amt_Oct12;Trans_Amt_Nov12;Trans_Amt_Dec12;Trans_Amt_Jan13;Trans_Amt_Feb13;Trans_Amt_Mar13;Trans_Count_Oct12;Trans_Count_Nov12;Trans_Count_Dec12;Trans_Count_Jan13;Trans_Count_Feb13;Trans_Count_Mar13
768805383;0;45;M;3;High School;Married;$60K - $80K;Blue;39;5;1;3;12691;777;0;237;253;196;196;262;0;7;9;12;7;7
818770008;0;49;F;5;Graduate;Single;Less than $40K;Blue;44;6;1;2;8256;864;0;266;242;323;222;238;0;1;6;11;7;8
713982108;0;51;M;3;Graduate;Married;$80K - $120K;Blue;36;4;1;0;3418;0;0;195;330;967;213;182;0;1;5;5;4;5
769911858;0;40;F;4;High School;Unknown;Less than $40K;Blue;34;3;4;1;3313;2661;0;321;166;184;285;215;0;4;2;5;2;7
709106358;0;40;M;3;Uneducated;Married;$60K - $80K;Blue;21;5;1;0;4716;0;0;108;149;192;88;279;0;1;7;9;5;6
713061558;0;44;M;2;Graduate;Married;$40K - $60K;Blue;36;3;1;2;4010;1247;0;179;279;480;55;95;0;1;12;8;1;2
810347208;0;51;M;4;Unknown;Married;$120K +;Gold;46;6;1;3;90148;2264;0;258;189;453;228;202;0;8;10;8;2;3
818906208;0;32;M;0;High School;Unknown;$60K - $80K;Silver;27;2;2;2;29081;1396;13;137;330;531;329;198;0;4;17;10;2;3
710930508;0;37;M;3;Uneducated;Single;$60K - $80K;Blue;36;5;2;0;22352;2708;21;223;66;599;195;246;0;9;2;9;2;2
719661558;0;48;M;2;Graduate;Single;$80K - $120K;Blue;36;6;3;3;11656;1677;23;208;340;489;212;169;0;7;10;7;4;4
708790833;0;42;M;5;Uneducated;Unknown;$120K +;Blue;31;5;3;2;6748;1467;28;233;395;157;185;203;0;8;17;7;5;5
710821833;0;65;M;1;Unknown;Married;$40K - $60K;Blue;54;6;2;3;9095;1587;27;329;184;291;224;259;0;2;9;8;2;5
710599683;0;56;M;1;College;Single;$80K - $120K;Blue;36;3;6;0;11751;0;26;194;130;759;237;193;0;3;1;7;2;4
816082233;0;35;M;3;Graduate;Unknown;$60K - $80K;Blue;30;5;1;3;8547;1666;35;313;258;269;204;232;0;7;4;12;6;4
712396908;0;57;F;2;Graduate;Married;Less than $40K;Blue;48;5;2;2;2436;680;42;256;419;276;509;68;0;8;10;7;4;0
714885258;0;44;M;4;Unknown;Unknown;$80K - $120K;Blue;37;5;1;2;4234;972;46;301;151;523;148;179;0;6;4;9;2;6
709967358;0;48;M;4;Post-Graduate;Single;$80K - $120K;Blue;36;6;2;3;30367;2362;62;211;344;728;165;161;0;5;9;7;4;2
753327333;0;41;M;3;Unknown;Married;$80K - $120K;Blue;34;4;4;1;13535;1291;72;261;289;217;153;36;0;4;4;7;4;2
806160108;0;61;M;1;High School;Married;$40K - $60K;Blue;56;2;2;3;3193;2635;81;214;177;296;457;111;0;10;4;10;4;2
709327383;0;45;F;2;Graduate;Married;Unknown;Blue;37;6;1;2;14470;1157;84;350;180;216;90;287;0;8;3;2;2;6
806165208;0;47;M;1;Doctorate;Divorced;$60K - $80K;Blue;42;5;2;0;20979;1800;89;249;280;242;119;199;1;9;4;8;2;3
708508758;1;62;F;0;Graduate;Married;Less than $40K;Blue;49;2;3;3;932;0;46;122;170;169;110;75;1;5;4;4;1;1
784725333;0;41;M;3;High School;Married;$40K - $60K;Blue;33;4;2;1;4470;680;89;250;18;184;126;264;0;7;0;6;2;3
811604133;0;47;F;4;Unknown;Single;Less than $40K;Blue;36;3;3;2;2492;1560;93;339;284;251;69;90;1;9;7;4;0;2
789124683;0;54;M;2;Unknown;Married;$80K - $120K;Blue;42;4;2;3;12217;0;95;209;231;190;155;230;0;5;7;2;3;4
771071958;0;41;F;3;Graduate;Single;Less than $40K;Blue;28;6;1;2;7768;1669;90;251;244;98;218;150;1;3;8;2;4;4
720466383;0;59;M;1;High School;Unknown;$40K - $60K;Blue;46;4;1;2;14784;1374;93;175;355;196;215;163;0;1;9;7;2;4
804424383;0;63;M;1;Unknown;Married;$60K - $80K;Blue;56;3;3;2;10215;1010;106;337;590;379;332;160;1;8;11;7;7;6
718813833;0;44;F;3;Uneducated;Single;Unknown;Blue;34;5;2;2;10100;0;100;316;274;128;76;158;0;4;3;4;0;7
806624208;0;47;M;4;High School;Married;$40K - $60K;Blue;42;6;0;0;4785;1362;93;225;283;171;104;169;0;13;7;7;5;6
778348233;0;53;M;3;Unknown;Married;$80K - $120K;Blue;33;3;2;3;2753;1811;104;289;132;158;155;200;1;2;4;9;4;5
712991808;0;53;M;2;Uneducated;Married;$60K - $80K;Blue;48;2;5;1;2451;1690;93;309;285;361;387;161;2;4;4;7;5;4
